Time,Plot 1,Plot 2,Actual
1,3.5,0.7,10.5
1,0.7,0.7,10.5
1,0,0.7,10.5
1,0.7,0.7,10.5
1,7,0.7,10.5
1,1.4,0.7,10.5
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
5,2.8,0,7
5,0.7,0.7,7
5,2.8,0.7,7
5,5.6,5.6,7
5,6.3,0.7,7
5,0.7,0.7,7
6,123.9,24.5,81.2
6,35,18.9,81.2
6,30.8,9.8,81.2
6,56,53.9,81.2
6,78.4,26.6,81.2
6,49,21,81.2
7,300.3,231,465.5
7,290.5,231,465.5
7,188.3,147,465.5
7,381.5,328.3,465.5
7,397.6,181.3,465.5
7,311.64,202.3,465.5
8,92.4,15.4,68.6
8,21,12.6,68.6
8,15.4,7.7,68.6
8,46.2,28,68.6
8,67.2,15.4,68.6
8,28.7,31.5,68.6
9,49,27.3,71.4
9,27.3,11.9,71.4
9,25.9,21.7,71.4
9,63,32.9,71.4
9,60.9,16.1,71.4
9,52.5,21.7,71.4
10,0.7,0.7,0.7
10,0.7,0.7,0.7
10,0.7,0.7,0.7
10,0.7,0,0.7
10,0.7,0.7,0.7
10,0.7,0.7,0.7
11,0.7,0,5.6
11,0.7,0,5.6
11,0.7,0,5.6
11,0.7,0.7,5.6
11,0.7,0,5.6
11,0,0,5.6
12,81.2,44.8,91
12,61.6,27.3,91
12,28,36.225,91
12,93.1,57.4,91
12,74.2,28.7,91
12,58.1,31.5,91
13,33.6,15.4,61.6
13,28,7.7,61.6
13,25.2,9.1,61.6
13,45.5,34.3,61.6
13,34.3,23.1,61.6
13,35,19.6,61.6
14,4.9,0.7,6.3
14,0.7,0.7,6.3
14,4.2,0.7,6.3
14,5.6,0.7,6.3
14,2.8,0.7,6.3
14,0.7,0.7,6.3
