Time,Plot 1,Plot 2,Actual
1,3.5,0.7,10.5
1,0.7,0.7,10.5
1,0,0.7,10.5
1,0.7,0.7,10.5
1,7,0.7,10.5
1,1.4,0.7,10.5
2,2.8,0,7
2,0.7,0.7,7
2,2.8,0.7,7
2,5.6,5.6,7
2,6.3,0.7,7
2,0.7,0.7,7
3,123.9,24.5,81.2
3,35,18.9,81.2
3,30.8,9.8,81.2
3,56,53.9,81.2
3,78.4,26.6,81.2
3,49,21,81.2
4,300.3,231,465.5
4,290.5,231,465.5
4,188.3,147,465.5
4,381.5,328.3,465.5
4,397.6,181.3,465.5
4,311.64,202.3,465.5
5,92.4,15.4,68.6
5,21,12.6,68.6
5,15.4,7.7,68.6
5,46.2,28,68.6
5,67.2,15.4,68.6
5,28.7,31.5,68.6
6,49,27.3,71.4
6,27.3,11.9,71.4
6,25.9,21.7,71.4
6,63,32.9,71.4
6,60.9,16.1,71.4
6,52.5,21.7,71.4
7,0.7,0.7,0.7
7,0.7,0.7,0.7
7,0.7,0.7,0.7
7,0.7,0,0.7
7,0.7,0.7,0.7
7,0.7,0.7,0.7
8,0.7,0,5.6
8,0.7,0,5.6
8,0.7,0,5.6
8,0.7,0.7,5.6
8,0.7,0,5.6
8,0,0,5.6
9,81.2,44.8,91
9,61.6,27.3,91
9,28,36.225,91
9,93.1,57.4,91
9,74.2,28.7,91
9,58.1,31.5,91
10,33.6,15.4,61.6
10,28,7.7,61.6
10,25.2,9.1,61.6
10,45.5,34.3,61.6
10,34.3,23.1,61.6
10,35,19.6,61.6
11,4.9,0.7,6.3
11,0.7,0.7,6.3
11,4.2,0.7,6.3
11,5.6,0.7,6.3
11,2.8,0.7,6.3
11,0.7,0.7,6.3
